id,en_title,season_year,episodes_count,episode_duration,format_destination,release_status
5936,Hashire! Shiroi Ookami,1990,1,84,movie,finished
6518,Eiga de Toujou! Tamagotchi Doki Doki! Uchuu no Maigotchi!?,2007,1,90,movie,finished
38446,Larva Island,2018,13,8,ona,finished
33026,Time Bokan 24,2016,24,24,tv,finished
19137,Eden,,2,4,music,finished
6993,Koneko no Rakugaki,1957,1,13,movie,finished
30916,The Five Killers,,1,2,ona,cancelled
33434,Heybot!,2016,50,23,tv,finished
4723,Seishun Anime Zenshuu,1986,32,26,tv,finished
,MEGAZONE23 III,1989,2,51,ova,finished
35635,Monster Strike 2: Monster Sonic! D'Artagnan no Idol Sengen,2017,5,13,ona,finished
7510,Shisha no Sho,2005,1,70,movie,finished
1769,Oh! Super Milk-Chan,2000,12,21,tv,finished
4823,Youkai Ningen Bem (2006),2006,26,25,tv,finished
1806,Master Mosquiton 99,1997,26,20,tv,finished
8156,Gegege no Kitarou: Obake Nighter,1997,1,30,movie,finished
35746,6 LOVERS,2021,6,4,ova,finished
5023,Ninpuu Kamui Gaiden,1969,26,22,tv,finished
,otogi theater,,1,2,music,finished
8550,Dr. Slump: Arale no Bikkuriman,1999,1,50,movie,finished
8551,Dr. Slump: Dr. Mashirito & Abale-chan,2007,1,5,movie,finished
41399,Katarina Nounai Kaigi,2020,26,1,ona,finished
35255,Soutai Sekai,2017,2,16,ona,finished
8848,Oishinbo: Kyuukyoku Tai Shikou, Chouju Ryouri Taiketsu!!,,1,90,movie,finished
27417,Diabolik Lovers OVA,2015,1,11,ova,finished
2049,Armored Dragon Legend Villgust,1993,2,28,ova,finished
2023,Bakuen Campus Guardress,1994,4,30,ova,finished
2046,Mahou no Tenshi Creamy Mami: Long Goodbye,1985,1,55,ova,finished
294,Divergence Eve,2003,13,24,tv,finished
11511,Evidence,,1,5,music,finished
,Namui BL Manhwa Animation,,12,3,ona,finished
34818,Sakura Internet Shinsei,2017,1,4,ona,finished
35286,Henkei Shoujo,2017,5,2,ona,finished
35250,URAHARA,2017,12,24,tv,finished
41480,Destiny Child,2018,1,26,ona,finished
1938,Shin Kaitei Gunkan,1995,2,50,ova,finished
9390,Ginga Hyouryuu Vifam: Keito no Kioku - Namida no Dakkai Sakusen,1985,1,57,ova,finished
34975,Marvel Future Avengers,2017,26,22,tv,finished
1904,Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko,2003,3,30,ova,finished
1907,Harukanaru Toki no Naka de: Hachiyou Shou OVA,2005,2,22,ova,finished
1884,Hime-sama Goyoujin,2006,12,24,tv,finished
10736,Precure kara Minna e no Ouen Movie,2011,1,1,ona,finished
2046,Mahou no Tenshi Creamy Mami: Long Goodbye,1985,1,55,ova,finished
14947,Onegai My Melody: Yuu & Ai,2012,1,13,movie,finished
2049,Armored Dragon Legend Villgust,1993,2,28,ova,finished
1938,Shin Kaitei Gunkan,1995,2,50,ova,finished
1907,Harukanaru Toki no Naka de: Hachiyou Shou OVA,2005,2,22,ova,finished
16756,Kuiba: Shiwanhuoji,,1,90,movie,finished
