id,en_title,season_year,episodes_count,episode_duration,format_destination,release_status
9023,Working!!! Lord Of The Takanashi,2015,1,50,special,finished
10,Naruto,2002,220,23,tv,finished
6000,Hotarubi no Mori e,2011,1,45,movie,finished
12445,ReLIFE: Kanketsu-hen,2018,4,24,ova,finished
6080,Mahou Shoujo Madoka☆Magica Movie: Hajimari no Monogatari,2012,1,130,movie,finished
3329,Boku no Hero Academia 4,2019,25,24,tv,finished
2943,Uchouten Kazoku 2,2017,12,24,tv,finished
7810,Boku no Hero Academia the Movie: World Heroes' Mission,2021,1,104,movie,finished
2632,Death Parade,2015,12,23,tv,finished
7953,Hajime no Ippo: Champion Road,2003,1,90,special,finished
1684,InuYasha: Kanketsu-hen,2009,26,24,tv,finished
929,Ashita no Joe,1970,79,25,tv,finished
1568,Nodame Cantabile Finale,2010,11,22,tv,finished
3572,BEASTARS 2,2021,12,23,tv,finished
5081,Lupin III: Cagliostro no Shiro,1979,1,100,movie,finished
5206,Stranger: Mukoh Hadan,2007,1,103,movie,finished
224,Planetes,2003,26,25,tv,finished
3571,Yuukoku no Moriarty,2020,11,24,tv,finished
29,Beck,2004,26,25,tv,finished
1472,One Outs,2008,25,23,tv,finished
7351,Umibe no Étranger,2020,1,59,movie,finished
3382,Karakai Jouzu no Takagi-san 2,2019,12,24,tv,finished
3569,World Trigger 2nd Season,2021,12,23,tv,finished
6720,Dragon Ball Super: Broly,2018,1,100,movie,finished
2382,Fate/stay night: Unlimited Blade Works,2014,13,24,tv,finished
4945,Tonari no Totoro,1988,1,86,movie,finished
6723,Made in Abyss: Tabidachi no Yoake,2019,1,120,movie,finished
394,Princess Tutu,2002,38,16,tv,finished
2383,Initial D Final Stage,2014,4,27,tv,finished
4941,Tenkuu no Shiro Laputa,1986,1,125,movie,finished
3110,Hinamatsuri,2018,12,24,tv,finished
1122,xxxHOLiC Kei,2008,13,24,tv,finished
3491,Zombie Land Saga: Revenge,2021,12,24,tv,finished
3458,Eizouken ni wa Te wo Dasu na!,2020,12,25,tv,finished
4945,Tonari no Totoro,1988,1,86,movie,finished
9406,Shingeki no Kyojin Season 3 Part 2 Specials,2019,3,2,special,finished
7810,Boku no Hero Academia the Movie: World Heroes' Mission,2021,1,104,movie,finished
9139,Natsume Yuujinchou Roku Specials,2017,2,24,special,finished
7953,Hajime no Ippo: Champion Road,2003,1,90,special,finished
3359,Dorohedoro,2020,12,24,tv,finished
2331,Little Busters!: Refrain,2013,13,24,tv,finished
790,Higurashi no Naku Koro ni Kai,2007,24,24,tv,finished
131,Initial D Second Stage,1999,13,23,tv,finished
3690,Uma Musume: Pretty Derby Season 2,2021,13,24,tv,finished
6000,Hotarubi no Mori e,2011,1,45,movie,finished
2693,Noragami Aragoto,2015,13,24,tv,finished
2072,Danshi Koukousei no Nichijou,2012,12,24,tv,finished
7351,Umibe no Étranger,2020,1,59,movie,finished
6080,Mahou Shoujo Madoka☆Magica Movie: Hajimari no Monogatari,2012,1,130,movie,finished
2270,Kuroko no Basket 2nd Season,2013,25,24,tv,finished
2286,Kingdom 2,2013,39,25,tv,finished
153,Cardcaptor Sakura,1998,70,25,tv,finished
3329,Boku no Hero Academia 4,2019,25,24,tv,finished
2492,Kuroshitsuji: Book of Circus,2014,10,24,tv,finished
1155,Major S4,2008,26,24,tv,finished
160,Gankutsuou,2004,24,24,tv,finished
78,Hagane no Renkinjutsushi,2003,51,25,tv,finished
5519,Meitantei Conan: Shikkoku no Chaser,2009,1,111,movie,finished
2033,Hidamari Sketch x Honeycomb,2012,12,24,tv,finished
6704,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,2019,4,25,movie,finished
3590,Love Live! Superstar!!,2021,12,24,tv,finished
329,Major S2,2006,26,25,tv,finished
2884,Kidou Senshi Gundam: Tekketsu no Orphans 2,2016,25,24,tv,finished
1377,Toradora!,2008,25,24,tv,finished
2891,Kobayashi-san Chi no Maidragon,2017,13,24,tv,finished
5308,Gake no Ue no Ponyo,2008,1,101,movie,finished
3166,Asobi Asobase,2018,12,24,tv,finished
2443,JoJo no Kimyou na Bouken: Stardust Crusaders,2014,24,24,tv,finished
3556,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2,2020,12,24,tv,finished
3162,Lupin III: Part V,2018,24,22,tv,finished
22,Rurouni Kenshin: Meiji Kenkaku Romantan,1996,94,25,tv,finished
362,Major S1,2004,26,25,tv,finished
6656,Promare,2019,1,115,movie,finished
12707,Haikyuu!! Riku VS Kuu,2020,2,23,ova,finished
12600,Wotaku ni Koi wa Muzukashii OVA,2019,3,24,ova,finished
7180,Girls und Panzer: Saishuushou 2,2019,1,54,movie,finished
